asset_family,method_a,method_b,average_l1_weight_distance,minimum_l1_weight_distance,maximum_l1_weight_distance,rebalance_dates_compared
combined,equal_weight,minimum_variance,1.4623227258015954,1.2115766145662783,1.6118473584381883,36
combined,equal_weight,maximum_sharpe,1.5589893792128133,1.4311871065286283,1.6666666666666665,36
combined,equal_weight,risk_parity,0.35876815417791375,0.2578197237667781,0.4295002679904164,36
combined,minimum_variance,maximum_sharpe,1.2817030529977804,0.8550777114916054,1.599999999987254,36
combined,minimum_variance,risk_parity,1.2004462426006308,0.9362809291490677,1.4070354496525144,36
combined,maximum_sharpe,risk_parity,1.46765804780419,1.3723198352075197,1.609587457238233,36
crypto,equal_weight,minimum_variance,0.930533404651224,0.6093378777952155,1.2000000000000002,36
crypto,equal_weight,maximum_sharpe,1.1487082164431317,0.971391515911593,1.2000000000000002,36
crypto,equal_weight,risk_parity,0.14819604298730188,0.08652120963149723,0.2121612267803027,36
crypto,minimum_variance,maximum_sharpe,0.9522468943332343,0.4873672104967487,1.5000000000000002,36
crypto,minimum_variance,risk_parity,0.7871869729419626,0.5231982018133079,1.0988394344395918,36
crypto,maximum_sharpe,risk_parity,1.0855767885496026,0.7839776078089816,1.2359408754715795,36
equity,equal_weight,minimum_variance,1.376713305112468,1.1096751798281834,1.538514936944685,36
equity,equal_weight,maximum_sharpe,1.5057205217398484,1.358877137204632,1.5999999999999999,36
equity,equal_weight,risk_parity,0.2738207008582384,0.24447716141805817,0.314103006193915,36
equity,minimum_variance,maximum_sharpe,1.2711079411352029,0.8550638274234601,1.5857582786415994,36
equity,minimum_variance,risk_parity,1.1599217619417037,0.907821017793653,1.3269739231946414,36
equity,maximum_sharpe,risk_parity,1.4366701856828836,1.3467682014769458,1.4967229192857046,36
