fund_id,fund_name,asset_family,method,method_label,start_date,end_date,observations,periods_per_year,average_period_return,annualized_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,total_return,maximum_drawdown,historical_var_95,historical_expected_shortfall_95,rebalance_count,average_rebalance_turnover,annualized_turnover,latest_rebalance_date,estimation_window,max_asset_weight,crypto_sleeve_cap,risk_free_rate,transaction_cost_bps
equity_equal_weight,Equity Equal Weight,equity,equal_weight,Equal Weight,2021-01-04,2023-12-29,753,252,0.0005240213700195381,0.1320533852449236,0.1264237978181746,0.1611798066658655,0.8192923665597729,1.1834771866761797,0.4272168148150317,-0.20249210152511654,0.016164722070297642,0.022327825658655827,36,0.026482635192591877,0.3190577243920232,2023-12-01,252,0.1,,0.0,0.0
equity_minimum_variance,Equity Minimum Variance,equity,minimum_variance,Minimum Variance,2021-01-04,2023-12-29,753,252,0.000256777307445022,0.06470788147614555,0.05854881239243892,0.12496174254253517,0.5178215360922958,0.7372224561920062,0.1853278553257689,-0.1565525762827552,0.012917667364081042,0.01729282142493016,36,0.11737177053096276,1.4140726457594874,2023-12-01,252,0.1,,0.0,0.0
equity_maximum_sharpe,Equity Maximum Sharpe,equity,maximum_sharpe,Maximum Sharpe,2021-01-04,2023-12-29,753,252,0.0004399399180074137,0.11086485933786826,0.10186974812018579,0.16630021896729208,0.666654920999672,0.9354653589090215,0.3362546461423075,-0.19130067817499474,0.016684990640672925,0.02355542936302828,36,0.24310849653929337,2.928924675437542,2023-12-01,252,0.1,,0.0,0.0
equity_risk_parity,Equity Risk Parity,equity,risk_parity,Risk Parity,2021-01-04,2023-12-29,753,252,0.0004169177885627078,0.10506328271780237,0.09911011509006684,0.14528353167194935,0.7231603025388698,1.0375503014386287,0.3262794126954145,-0.1849315317223783,0.015088588141022851,0.0203538572223489,36,0.030929390610620697,0.37263138329289636,2023-12-01,252,0.1,,0.0,0.0
crypto_equal_weight,Crypto Equal Weight,crypto,equal_weight,Equal Weight,2021-01-01,2023-12-31,1095,365,0.0018594721661673724,0.678707340651091,0.4050471763369501,0.8189033644058294,0.8288002835884545,1.1933459747134343,1.7737845161866814,-0.8157130881593324,0.06763399863051875,0.10005253384022446,36,0.05784147459911652,0.6940976951893983,2023-12-01,365,0.25,,0.0,0.0
crypto_minimum_variance,Crypto Minimum Variance,crypto,minimum_variance,Minimum Variance,2021-01-01,2023-12-31,1095,365,0.0022645523097579836,0.826561593061664,0.698094832235671,0.7690772204153365,1.0747446044693447,1.583147802120373,3.896500699855622,-0.7281945700656334,0.06113032475312251,0.09209520312826475,36,0.13143254371198393,1.5771905245438067,2023-12-01,365,0.25,,0.0,0.0
crypto_maximum_sharpe,Crypto Maximum Sharpe,crypto,maximum_sharpe,Maximum Sharpe,2021-01-01,2023-12-31,1095,365,0.0011905874241794068,0.4345644098254835,0.1513039345263174,0.7634670093963575,0.5691986745688933,0.8099388950921366,0.5260542282962817,-0.8256287537978744,0.05985770253239359,0.09381343325583176,36,0.19700112202256623,2.3640134642707946,2023-12-01,365,0.25,,0.0,0.0
crypto_risk_parity,Crypto Risk Parity,crypto,risk_parity,Risk Parity,2021-01-01,2023-12-31,1095,365,0.0018877278474831011,0.6890206643313319,0.44292524823022417,0.7989396737389866,0.8624188871567228,1.2410520424135147,2.0042183757956935,-0.7987489193555738,0.06591771451601403,0.09778239691485485,36,0.06246583142839827,0.7495899771407794,2023-12-01,365,0.25,,0.0,0.0
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2021-01-04,2023-12-29,753,252,0.0006521306750572619,0.16433693011443,0.15135261955180912,0.21600385244388806,0.760805551637651,1.0770579816965895,0.5236892003153524,-0.2787245867171566,0.02083212665454901,0.031613049398577696,36,0.037501333030167394,0.4518088887777937,2023-12-01,252,0.1,0.2,0.0,0.0
combined_minimum_variance,Combined Minimum Variance,combined,minimum_variance,Minimum Variance,2021-01-04,2023-12-29,753,252,0.0002572568920724625,0.06482873680226055,0.058650066569670534,0.12516123961028494,0.5179617667907257,0.7370784010883782,0.1856666809753882,-0.15777675361918808,0.0131300666856194,0.017397908603033318,36,0.11859729088900778,1.4288374806707551,2023-12-01,252,0.1,0.2,0.0,0.0
combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,2021-01-04,2023-12-29,753,252,0.0005651160483644195,0.1424092441878337,0.1316729704932167,0.19339842815670427,0.7363516112573794,1.061836493672281,0.44718247337839245,-0.19331032054564612,0.018334963718678,0.027395665739261544,36,0.2488936296777201,2.9986228531690253,2023-12-01,252,0.1,0.2,0.0,0.0
combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,2021-01-04,2023-12-29,753,252,0.0005710125491366711,0.14389516238244113,0.13967265485105118,0.16201884472111053,0.8881384300087659,1.2742999891865847,0.4779659546682966,-0.19474678651715904,0.016078661026422657,0.023195780836641613,36,0.036802693758807355,0.4433918164407706,2023-12-01,252,0.1,0.2,0.0,0.0
