fusion_fund_id,fusion_fund_name,asset_family,base_method,fusion_variant,fusion_variant_label,tilt_strength,transaction_cost_bps,start_date,end_date,observations,periods_per_year,average_period_return,annualized_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,total_return,maximum_drawdown,historical_var_95,historical_expected_shortfall_95,rebalance_count,average_rebalance_turnover,annualized_turnover,base_annualized_return,base_sharpe_ratio,base_maximum_drawdown,delta_annualized_return_vs_base,delta_sharpe_vs_base,delta_maximum_drawdown_vs_base
equity_risk_parity_base,Equity Base Risk Parity,equity,risk_parity,base,Base Risk Parity,0.0,0.0,2021-01-04,2023-12-29,753,252,0.0004169177885627062,0.10506328271780195,0.09911011509006662,0.14528353167194893,0.723160302538869,1.0375503014386278,0.32627941269541383,-0.18493153172237697,0.015088588141022808,0.020353857222348837,36,0.030929390610620628,0.37263138329289547,0.10506328271780195,0.723160302538869,-0.18493153172237697,0.0,0.0,0.0
equity_risk_parity_sentiment,Equity Baseline Sentiment,equity,risk_parity,sentiment,Baseline Sentiment,0.1,0.0,2021-01-04,2023-12-29,753,252,0.0004072179111599283,0.10261891361230194,0.09645238045966398,0.14512597130496763,0.7071023379864836,1.013031422287009,0.3167194643897606,-0.18560121514837624,0.015304897192049083,0.02036893211813131,36,0.03405805644595514,0.41032495096640775,0.10506328271780195,0.723160302538869,-0.18493153172237697,-0.0024443691055000133,-0.016057964552385395,-0.0006696834259992679
equity_risk_parity_coverage_adjusted,Equity AtlasSignal Coverage-Adjusted,equity,risk_parity,coverage_adjusted,AtlasSignal Coverage-Adjusted,0.1,0.0,2021-01-04,2023-12-29,753,252,0.0004094840213361562,0.10318997337671136,0.0970656736532507,0.14520682428780954,0.7106413481792151,1.0184090060874276,0.31892141468880686,-0.18559993236429473,0.015269786845903454,0.02037206071861018,36,0.032991992238957685,0.3974812132693547,0.10506328271780195,0.723160302538869,-0.18493153172237697,-0.0018733093410905899,-0.012518954359653889,-0.0006684006419177546
equity_risk_parity_sentiment,Equity Baseline Sentiment,equity,risk_parity,sentiment,Baseline Sentiment,0.25,0.0,2021-01-04,2023-12-29,753,252,0.00039276775278985983,0.09897747370304467,0.09248757990300582,0.14500056709546671,0.6826005972644165,0.9757628462532155,0.30254334889028467,-0.18663149385534217,0.015204738855161316,0.020416033892487247,36,0.04883042905178992,0.5882996711259473,0.10506328271780195,0.723160302538869,-0.18493153172237697,-0.006085809014757276,-0.04055970527445252,-0.0016999621329651937
equity_risk_parity_coverage_adjusted,Equity AtlasSignal Coverage-Adjusted,equity,risk_parity,coverage_adjusted,AtlasSignal Coverage-Adjusted,0.25,0.0,2021-01-04,2023-12-29,753,252,0.0003983358409963762,0.1003806319310868,0.09399549441229671,0.14516276894438623,0.6915039762677987,0.9892258332852257,0.30792285698224386,-0.1866266967632777,0.015216685359713012,0.0204187839363154,36,0.044043785940548766,0.530631110295695,0.10506328271780195,0.723160302538869,-0.18493153172237697,-0.004682650786715148,-0.03165632627107029,-0.0016951650409007257
equity_risk_parity_sentiment,Equity Baseline Sentiment,equity,risk_parity,sentiment,Baseline Sentiment,0.4,0.0,2021-01-04,2023-12-29,753,252,0.00037843249784083973,0.09536498945589161,0.08854779780693578,0.14500664657128232,0.657659436383229,0.9380325474765624,0.2885576387802984,-0.18769296033565108,0.015125556428728704,0.020490801314859183,36,0.06835029644503421,0.8234713005967468,0.10506328271780195,0.723160302538869,-0.18493153172237697,-0.009698293261910337,-0.06550086615563999,-0.0027614286132741084
equity_risk_parity_coverage_adjusted,Equity AtlasSignal Coverage-Adjusted,equity,risk_parity,coverage_adjusted,AtlasSignal Coverage-Adjusted,0.4,0.0,2021-01-04,2023-12-29,753,252,0.0003871893987523957,0.09757172848560372,0.09092081779602346,0.145204054923426,0.6719628355906355,0.9595415942891715,0.29696951658196613,-0.18768305394237905,0.015173696472710474,0.020485035240701107,36,0.05946537901179991,0.7164275144688561,0.10506328271780195,0.723160302538869,-0.18493153172237697,-0.00749155423219823,-0.05119746694823346,-0.0027515222200020784
equity_risk_parity_base,Equity Base Risk Parity,equity,risk_parity,base,Base Risk Parity,0.0,10.0,2021-01-04,2023-12-29,753,252,0.0004154334454286911,0.10468922824803016,0.09870062129445589,0.14527462452707163,0.7206298318707514,1.0337978683133802,0.3248034521998169,-0.18507787034915235,0.015088588141022808,0.020353857222348837,36,0.030929390610620628,0.37263138329289547,0.10468922824803016,0.7206298318707514,-0.18507787034915235,0.0,0.0,0.0
equity_risk_parity_sentiment,Equity Baseline Sentiment,equity,risk_parity,sentiment,Baseline Sentiment,0.1,10.0,2021-01-04,2023-12-29,753,252,0.00040558430354804305,0.10220724449410686,0.09600256259646778,0.14511767788219135,0.7043059535246987,1.0088984102781264,0.3151060070237197,-0.18573942028419155,0.015304897192049083,0.02036893211813131,36,0.03405805644595514,0.41032495096640775,0.10468922824803016,0.7206298318707514,-0.18507787034915235,-0.002481983753923306,-0.016323878346052645,-0.0006615499350391962
equity_risk_parity_coverage_adjusted,Equity AtlasSignal Coverage-Adjusted,equity,risk_parity,coverage_adjusted,AtlasSignal Coverage-Adjusted,0.1,10.0,2021-01-04,2023-12-29,753,252,0.0004079013865334639,0.1027911494064329,0.0966296894101295,0.14519851733152084,0.7079352550944966,1.0144067063218232,0.31735581781459166,-0.18573794125745757,0.015269786845903454,0.02037206071861018,36,0.032991992238957685,0.3974812132693547,0.10468922824803016,0.7206298318707514,-0.18507787034915235,-0.0018980788415972616,-0.01269457677625474,-0.0006600709083052214
equity_risk_parity_sentiment,Equity Baseline Sentiment,equity,risk_parity,sentiment,Baseline Sentiment,0.25,10.0,2021-01-04,2023-12-29,753,252,0.00039042720655677754,0.09838765605230794,0.09184504164789442,0.14499148559954952,0.6785754049313197,0.9698407703855794,0.30025556408807175,-0.1868022265399386,0.015234845471096436,0.020418014590904032,36,0.04883042905178992,0.5882996711259473,0.10468922824803016,0.7206298318707514,-0.18507787034915235,-0.0063015721957222215,-0.04205442693943162,-0.0017243561907862581
equity_risk_parity_coverage_adjusted,Equity AtlasSignal Coverage-Adjusted,equity,risk_parity,coverage_adjusted,AtlasSignal Coverage-Adjusted,0.25,10.0,2021-01-04,2023-12-29,753,252,0.0003962244738044866,0.09984856739873063,0.09341512646472161,0.145154149637577,0.6878795242715002,0.983885626168369,0.3058506391468312,-0.1867880416007921,0.015218969502859503,0.0204187839363154,36,0.044043785940548766,0.530631110295695,0.10468922824803016,0.7206298318707514,-0.18507787034915235,-0.00484066084929953,-0.03275030759925113,-0.0017101712516397471
equity_risk_parity_sentiment,Equity Baseline Sentiment,equity,risk_parity,sentiment,Baseline Sentiment,0.4,10.0,2021-01-04,2023-12-29,753,252,0.0003751572902158186,0.09453963713438629,0.0876517450949077,0.1449956057419446,0.6520172570101391,0.9297637129314191,0.2853907783474696,-0.18793182842110834,0.015125556428728704,0.020493811679901695,36,0.06835029644503421,0.8234713005967468,0.10468922824803016,0.7206298318707514,-0.18507787034915235,-0.010149591113643872,-0.06861257486061223,-0.0028539580719559865
equity_risk_parity_coverage_adjusted,Equity AtlasSignal Coverage-Adjusted,equity,risk_parity,coverage_adjusted,AtlasSignal Coverage-Adjusted,0.4,10.0,2021-01-04,2023-12-29,753,252,0.00038433965141742416,0.09685359215719089,0.09013950658173964,0.14519397425787298,0.6670634415252884,0.952345636910426,0.29419590394273043,-0.1878999532065201,0.015173696472710474,0.02048770124660739,36,0.05946537901179991,0.7164275144688561,0.10468922824803016,0.7206298318707514,-0.18507787034915235,-0.007835636090839274,-0.053566390345462955,-0.002822082857367736
combined_risk_parity_base,Combined Base Risk Parity,combined,risk_parity,base,Base Risk Parity,0.0,0.0,2021-01-04,2023-12-29,753,252,0.0005710125491366681,0.14389516238244035,0.13967265485105096,0.16201884472110997,0.8881384300087641,1.2742999891865823,0.47796595466829506,-0.19474678651715738,0.016078661026422615,0.023195780836641523,36,0.03680269375880724,0.4433918164407693,0.14389516238244035,0.8881384300087641,-0.19474678651715738,0.0,0.0,0.0
combined_risk_parity_sentiment,Combined Baseline Sentiment,combined,risk_parity,sentiment,Baseline Sentiment,0.1,0.0,2021-01-04,2023-12-29,753,252,0.0005620376580669151,0.1416334898328626,0.13713469513755694,0.16182362338456804,0.8752337073572731,1.2542111280128472,0.4681529564425382,-0.19491760866268892,0.016124919114487123,0.023193525676713223,36,0.0393841781950691,0.4744930472585218,0.14389516238244035,0.8881384300087641,-0.19474678651715738,-0.0022616725495777368,-0.012904722651491007,-0.00017082214553154618
combined_risk_parity_coverage_adjusted,Combined AtlasSignal Coverage-Adjusted,combined,risk_parity,coverage_adjusted,AtlasSignal Coverage-Adjusted,0.1,0.0,2021-01-04,2023-12-29,753,252,0.0005640965746116082,0.14215233680212527,0.1377099143443854,0.16190352272767836,0.878006447341022,1.2584886184436959,0.4703732253102362,-0.19492762064562819,0.016122553472044256,0.02320101283721575,36,0.03840630092932192,0.462711768965217,0.14389516238244035,0.8881384300087641,-0.19474678651715738,-0.0017428255803150772,-0.010131982667742179,-0.00018083412847080815
combined_risk_parity_sentiment,Combined Baseline Sentiment,combined,risk_parity,sentiment,Baseline Sentiment,0.25,0.0,2021-01-04,2023-12-29,753,252,0.0005486817071559861,0.13826779020330848,0.13335215058870697,0.16162058956402878,0.8555085127228256,1.2236245593836266,0.4536083809814806,-0.19577823808044048,0.015961102532129345,0.02320155776062513,36,0.05286242122464745,0.6368763417662704,0.14389516238244035,0.8881384300087641,-0.19474678651715738,-0.005627372179131868,-0.03262991728593856,-0.0010314515632831034
combined_risk_parity_coverage_adjusted,Combined AtlasSignal Coverage-Adjusted,combined,risk_parity,coverage_adjusted,AtlasSignal Coverage-Adjusted,0.25,0.0,2021-01-04,2023-12-29,753,252,0.0005537311380942545,0.13954024679975213,0.13476398829392133,0.16178787204254128,0.8624889185949658,1.23434161339095,0.4590258873795894,-0.1958012077392769,0.016012037609967545,0.023216803811502346,36,0.048405821105579144,0.5831840757899256,0.14389516238244035,0.8881384300087641,-0.19474678651715738,-0.004354915582688218,-0.025649511413798343,-0.001054421222119517
combined_risk_parity_sentiment,Combined Baseline Sentiment,combined,risk_parity,sentiment,Baseline Sentiment,0.4,0.0,2021-01-04,2023-12-29,753,252,0.0005354483268135229,0.13493297835700777,0.12959760776631724,0.16152366962632714,0.8353758843466413,1.1925471219085997,0.43926659981895533,-0.19735808770826346,0.016124052463985603,0.023232880321551953,36,0.07086786803764203,0.8538025216965318,0.14389516238244035,0.8881384300087641,-0.19474678651715738,-0.008962184025432585,-0.052762545662122795,-0.0026113011911060857
combined_risk_parity_coverage_adjusted,Combined AtlasSignal Coverage-Adjusted,combined,risk_parity,coverage_adjusted,AtlasSignal Coverage-Adjusted,0.4,0.0,2021-01-04,2023-12-29,753,252,0.000543374617588678,0.13693040363234685,0.13181558312060027,0.16174100522920445,0.8466028972572645,1.209706836964883,0.44772748927566863,-0.1967030220943755,0.01607553544005722,0.02324965904339122,36,0.06251932229895643,0.753220839171491,0.14389516238244035,0.8881384300087641,-0.19474678651715738,-0.006964758750093503,-0.04153553275149968,-0.001956235577218135
