fund_id,fund_name,asset_family,method,method_label,rebalance_date,holding_rank,ticker,asset_class,sector,target_weight,target_weight_pct,is_active_holding
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,42,PLD,Equity,RealEstate,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,43,PSA,Equity,RealEstate,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,44,QCOM,Equity,Tech,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,45,SBUX,Equity,Consumer,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,46,SHW,Equity,Materials,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,47,SLB,Equity,Energy,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,48,SO,Equity,Utilities,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,49,T,Equity,Comm,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,50,TMUS,Equity,Comm,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,51,TRX-USD,Crypto,Crypto,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,52,TTWO,Equity,Comm,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,53,UPS,Equity,Industrials,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,54,USB,Equity,Financials,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,55,V,Equity,Financials,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,56,WFC,Equity,Financials,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,57,WMT,Equity,Consumer,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,58,XLM-USD,Crypto,Crypto,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,59,XOM,Equity,Energy,0.0166666666666666,1.66666666666666,True
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2023-12-01,60,XRP-USD,Crypto,Crypto,0.0166666666666666,1.66666666666666,True
combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,2023-12-01,1,BTC-USD,Crypto,Crypto,0.1000000000000922,10.00000000000922,True
combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,2023-12-01,2,INTC,Equity,Tech,0.1000000000000653,10.00000000000653,True
combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,2023-12-01,3,ADBE,Equity,Tech,0.1000000000000424,10.00000000000424,True
combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,2023-12-01,4,TTWO,Equity,Comm,0.1000000000000395,10.00000000000395,True
combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,2023-12-01,5,NVDA,Equity,Tech,0.1000000000000315,10.00000000000315,True
combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,2023-12-01,6,V,Equity,Financials,0.0999999999999647,9.99999999999647,True
combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,2023-12-01,7,GE,Equity,Industrials,0.0999999999998713,9.99999999998713,True
combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,2023-12-01,8,SO,Equity,Utilities,0.0999999999968923,9.99999999968923,True
combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,2023-12-01,9,BA,Equity,Industrials,0.0534951390148664,5.34951390148664,True
combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,2023-12-01,10,BCH-USD,Crypto,Crypto,0.0533429420584594,5.33429420584594,True
