trading_date,ticker,sector,ticker_sentiment,ticker_positive,ticker_neutral,ticker_negative,headline_count,positive_headlines,neutral_headlines,negative_headlines,sentiment_dispersion,ticker_sentiment_label
2020-01-02,EA,Comm,0.0,0.0,1.0,0.0,3,0,3,0,0.0,neutral
2020-01-02,T,Comm,0.2768,0.15899999999999997,0.841,0.0,5,4,1,0,0.1775876009185326,positive
2020-01-02,TMUS,Comm,0.1591,0.0865,0.9135,0.0,2,1,1,0,0.1591,positive
2020-01-02,TTWO,Comm,0.0,0.0,1.0,0.0,1,0,1,0,0.0,neutral
2020-01-02,DIS,Consumer,0.05871428571428572,0.06771428571428571,0.8675714285714287,0.06471428571428571,7,2,3,2,0.30004939797388325,positive
2020-01-02,KO,Consumer,-0.0702,0.0,0.96225,0.03775,4,0,3,1,0.1215899666913352,negative
2020-01-02,NKE,Consumer,-0.105375,0.0,0.9285,0.0715,4,0,3,1,0.18251485384757044,negative
2020-01-02,SBUX,Consumer,-0.26776666666666665,0.0,0.823,0.17699999999999996,3,0,1,2,0.19003203823449233,negative
2020-01-02,WMT,Consumer,0.039900000000000005,0.0815,0.88075,0.03775,4,1,2,1,0.25808562532616963,neutral
2020-01-02,COP,Energy,0.2732,0.149,0.851,0.0,1,1,0,0,0.0,positive
2020-01-02,CVX,Energy,0.1366,0.0745,0.9255,0.0,2,1,1,0,0.1366,positive
2020-01-02,OXY,Energy,0.3428333333333333,0.168,0.832,0.0,6,5,1,0,0.23248474262960905,positive
2020-01-02,SLB,Energy,0.0683,0.03725,0.96275,0.0,4,1,3,0,0.11829907015695432,positive
2020-01-02,XOM,Energy,0.141375,0.11225,0.863375,0.02425,8,4,3,1,0.24782800865721372,positive
2020-01-02,GS,Financials,0.0,0.0,1.0,0.0,1,0,1,0,0.0,neutral
2020-01-02,MS,Financials,0.0,0.0,1.0,0.0,1,0,1,0,0.0,neutral
2020-01-02,USB,Financials,0.0,0.0,1.0,0.0,2,0,2,0,0.0,neutral
2020-01-02,V,Financials,0.3862666666666667,0.283,0.717,0.0,3,2,1,0,0.2957729459493474,positive
2020-01-02,WFC,Financials,0.14966,0.131,0.869,0.0,5,3,2,0,0.12573838872834342,positive
2020-01-02,ABBV,Healthcare,0.1468,0.12233333333333334,0.8776666666666667,0.0,3,1,2,0,0.20760655095637034,positive
2020-01-02,ABT,Healthcare,0.3243,0.16999999999999998,0.8300000000000001,0.0,4,3,1,0,0.19149983028713108,positive
2020-01-02,AMGN,Healthcare,0.17748571428571427,0.1542857142857143,0.8077142857142857,0.038,7,4,1,2,0.31145014931799936,positive
2020-01-02,GILD,Healthcare,0.11333333333333334,0.07033333333333333,0.9296666666666668,0.0,3,1,2,0,0.1602775370689508,positive
2020-01-02,MRK,Healthcare,0.31553333333333333,0.18716666666666668,0.8036666666666666,0.009166666666666667,6,4,1,1,0.3471625395818058,positive
2020-01-02,BA,Industrials,0.059199999999999996,0.0536,0.9464,0.0,5,1,4,0,0.11839999999999999,positive
2020-01-02,CAT,Industrials,0.3612,0.2,0.8,0.0,1,1,0,0,0.0,positive
2020-01-02,GE,Industrials,0.0,0.0,1.0,0.0,4,0,4,0,0.0,neutral
2020-01-02,MMM,Industrials,0.0,0.0,1.0,0.0,2,0,2,0,0.0,neutral
2020-01-02,UPS,Industrials,0.0,0.0,1.0,0.0,1,0,1,0,0.0,neutral
2020-01-02,DD,Materials,0.2628,0.137,0.863,0.0,2,1,1,0,0.2628,positive
2020-01-02,DOW,Materials,0.0,0.0,1.0,0.0,3,0,3,0,0.0,neutral
2020-01-02,NEM,Materials,0.28595,0.173,0.827,0.0,2,1,1,0,0.28595,positive
2020-01-02,AMT,RealEstate,0.03620000000000001,0.0835,0.7735,0.143,2,1,0,1,0.4577,neutral
2020-01-02,O,RealEstate,0.0,0.0,1.0,0.0,1,0,1,0,0.0,neutral
2020-01-02,AMD,Tech,0.17636153846153846,0.07084615384615385,0.9291538461538462,0.0,13,5,8,0,0.2560336772874331,positive
2020-01-02,INTC,Tech,0.20246,0.1028,0.8972,0.0,5,2,3,0,0.2514245461366093,positive
2020-01-02,NVDA,Tech,0.0,0.0,1.0,0.0,1,0,1,0,0.0,neutral
2020-01-02,QCOM,Tech,-0.07086666666666668,0.04750000000000001,0.9175,0.035,6,1,3,2,0.27814985569333345,negative
2020-01-02,NEE,Utilities,0.6369,0.344,0.656,0.0,1,1,0,0,0.0,positive
2020-01-03,CMCSA,Comm,0.0,0.0,1.0,0.0,1,0,1,0,0.0,neutral
2020-01-03,T,Comm,0.27115,0.1665,0.8335,0.0,2,1,1,0,0.27115,positive
2020-01-03,DIS,Consumer,0.0,0.0,1.0,0.0,4,0,4,0,0.0,neutral
2020-01-03,KO,Consumer,-0.7906,0.0,0.6,0.4,1,0,0,1,0.0,negative
2020-01-03,NKE,Consumer,-0.148,0.0,0.8805000000000001,0.1195,2,0,1,1,0.148,negative
2020-01-03,WMT,Consumer,0.06743333333333333,0.077,0.923,0.0,3,1,2,0,0.09536513455602573,positive
2020-01-03,COP,Energy,-0.23870000000000002,0.123,0.7865,0.0905,2,1,0,1,0.5119,negative
2020-01-03,CVX,Energy,-0.055175,0.04,0.849,0.111,4,1,2,1,0.27676629468741315,negative
2020-01-03,OXY,Energy,-0.19426000000000002,0.0634,0.8116,0.125,5,1,2,2,0.37236838533903494,negative
2020-01-03,SLB,Energy,0.10085,0.1705,0.7993333333333333,0.030166666666666665,6,3,2,1,0.44289051224126863,positive
2020-01-03,XOM,Energy,0.15633636363636363,0.12772727272727272,0.8428181818181817,0.029454545454545452,11,6,3,2,0.27275968867960504,positive
2020-01-03,MS,Financials,0.3548,0.102,0.898,0.0,2,1,1,0,0.3548,positive
2020-01-03,V,Financials,-0.102525,0.05775,0.8285,0.11375,4,1,2,1,0.30574235374739955,negative
2020-01-03,WFC,Financials,0.0,0.0,1.0,0.0,2,0,2,0,0.0,neutral
2020-01-03,GILD,Healthcare,0.198575,0.14200000000000002,0.858,0.0,4,3,1,0,0.12086062996277985,positive
2020-01-03,MRK,Healthcare,0.2202,0.1835,0.8165,0.0,2,1,1,0,0.2202,positive
2020-01-03,BA,Industrials,-0.3182,0.0,0.723,0.277,1,0,0,1,0.0,negative
2020-01-03,CAT,Industrials,-0.18455,0.1185,0.6815,0.2,2,1,0,1,0.60605,negative
2020-01-03,GE,Industrials,0.10774999999999998,0.1885,0.704,0.107,2,1,0,1,0.21044999999999997,positive
2020-01-03,MMM,Industrials,-0.2294,0.086,0.792,0.1225,2,0,1,1,0.2294,negative
2020-01-03,NEM,Materials,-0.5233,0.042,0.761,0.1965,2,0,0,2,0.22730000000000003,negative
2020-01-03,NUE,Materials,0.3818,0.271,0.729,0.0,1,1,0,0,0.0,positive
2020-01-03,AMT,RealEstate,-0.16990000000000002,0.049666666666666665,0.7986666666666666,0.15166666666666667,3,1,1,1,0.31569131547552376,negative
2020-01-03,CCI,RealEstate,-0.3182,0.0,0.796,0.204,1,0,0,1,0.0,negative
2020-01-03,PSA,RealEstate,0.296,0.196,0.804,0.0,1,1,0,0,0.0,positive
2020-01-03,AMD,Tech,0.1907125,0.14925,0.85075,0.0,8,5,3,0,0.1592592967262822,positive
2020-01-03,INTC,Tech,0.20162857142857143,0.14385714285714285,0.8561428571428572,0.0,7,5,2,0,0.1463168549443854,positive
2020-01-03,NVDA,Tech,0.0,0.0,1.0,0.0,1,0,1,0,0.0,neutral
2020-01-03,QCOM,Tech,0.0,0.0,1.0,0.0,1,0,1,0,0.0,neutral
2020-01-03,DUK,Utilities,0.0,0.0,1.0,0.0,1,0,1,0,0.0,neutral
2020-01-03,NEE,Utilities,0.2817,0.2213333333333333,0.7786666666666667,0.0,3,2,1,0,0.2335545475187042,positive
2020-01-06,CMCSA,Comm,0.09106249999999999,0.08825,0.8592500000000001,0.052500000000000005,8,3,4,1,0.26019204896335707,positive
2020-01-06,EA,Comm,0.1909,0.112,0.888,0.0,2,1,1,0,0.1909,positive
2020-01-06,T,Comm,0.23946666666666663,0.19799999999999998,0.7608333333333334,0.041166666666666664,6,4,1,1,0.3224152998161774,positive
2020-01-06,DIS,Consumer,0.084775,0.1233125,0.81875,0.0579375,16,8,5,3,0.34764817434440815,positive
